date,code,market,close,volume,name
2026-01-06,00733,TWSE,47.1,2133614.0,富邦臺灣中小
2026-01-06,00735,TWSE,56.75,1056913.0,國泰臺韓科技
2026-01-06,00736,TWSE,28.67,123632.0,國泰新興市場
2026-01-06,00737,TWSE,35.87,319461.0,國泰AI機器人
2026-01-06,00738U,TWSE,61.75,20681893.0,期元大道瓊白銀
2026-01-06,00739,TWSE,26.79,105803.0,元大MSCI A股
2026-01-06,00752,TWSE,26.78,5826429.0,中信中國50
2026-01-06,00753L,TWSE,12.85,22370242.0,中信中國50正2
2026-01-06,00757,TWSE,116.4,5205125.0,統一FANG+
2026-01-06,00762,TWSE,83.4,1266019.0,元大全球AI
2026-01-06,00763U,TWSE,32.18,2628873.0,期街口道瓊銅
2026-01-06,00770,TWSE,57.95,1859290.0,國泰北美科技
2026-01-06,00771,TWSE,16.16,44772.0,元大US高息特別股
2026-01-06,00775B,TWSE,32.54,92970.0,新光投等債15+
2026-01-06,00783,TWSE,26.04,80765.0,富邦中証500
2026-01-06,00830,TWSE,60.75,53067486.0,國泰費城半導體
2026-01-06,00850,TWSE,57.4,2097041.0,元大臺灣ESG永續
2026-01-06,00851,TWSE,56.4,43013.0,台新全球AI
2026-01-06,00852L,TWSE,30.79,108174.0,國泰美國道瓊正2
2026-01-06,00861,TWSE,57.5,156262.0,元大全球未來通訊
2026-01-06,00865B,TWSE,47.18,5156423.0,國泰US短期公債
2026-01-06,00875,TWSE,37.9,237906.0,國泰網路資安
2026-01-06,00876,TWSE,53.2,467972.0,元大全球5G
2026-01-06,00878,TWSE,21.91,130805646.0,國泰永續高股息
2026-01-06,00881,TWSE,34.3,61303481.0,國泰台灣科技龍頭
2026-01-06,00882,TWSE,15.26,13680084.0,中信中國高股息
2026-01-06,00885,TWSE,18.09,7702375.0,富邦越南
2026-01-06,00891,TWSE,20.71,18955752.0,中信關鍵半導體
2026-01-06,00892,TWSE,22.55,1627430.0,富邦台灣半導體
2026-01-06,00893,TWSE,32.87,1353709.0,國泰智能電動車
2026-01-06,00894,TWSE,28.67,4052404.0,中信小資高價30
2026-01-06,00895,TWSE,39.88,1565900.0,富邦未來車
2026-01-06,00896,TWSE,19.44,14280135.0,中信綠能及電動車
2026-01-06,00897,TWSE,8.71,405604.0,富邦基因免疫生技
2026-01-06,00898,TWSE,7.86,836304.0,國泰基因免疫革命
2026-01-06,00899,TWSE,20.83,786628.0,FT潔淨能源
2026-01-06,00900,TWSE,14.04,44738168.0,富邦特選高股息30
2026-01-06,00901,TWSE,26.12,3540522.0,永豐智能車供應鏈
2026-01-06,00902,TWSE,13.09,2034249.0,中信電池及儲能
2026-01-06,00903,TWSE,17.59,829988.0,富邦元宇宙
2026-01-06,00904,TWSE,24.79,9851922.0,新光臺灣半導體30
2026-01-06,00905,TWSE,17.99,3447673.0,FT臺灣Smart
2026-01-06,00907,TWSE,15.19,1500388.0,永豐優息存股
2026-01-06,00908,TWSE,13.89,102471.0,富邦入息REITs+
2026-01-06,00909,TWSE,40.79,7753466.0,國泰數位支付服務
2026-01-06,00910,TWSE,46.44,3365821.0,第一金太空衛星
2026-01-06,00911,TWSE,34.68,722298.0,兆豐洲際半導體
2026-01-06,00912,TWSE,22.48,1382784.0,中信臺灣智慧50
2026-01-06,00913,TWSE,25.9,709825.0,兆豐台灣晶圓製造
2026-01-06,00915,TWSE,22.69,11797457.0,凱基優選高股息30
2026-01-06,00916,TWSE,27.19,419909.0,國泰全球品牌50
2026-01-06,00917,TWSE,26.46,4406876.0,中信特選金融
2026-01-06,00918,TWSE,22.62,40828834.0,大華優利高填息30
2026-01-06,00919,TWSE,22.42,147680592.0,群益台灣精選高息
2026-01-06,00920,TWSE,18.64,724274.0,富邦ESG綠色電力
2026-01-06,00921,TWSE,17.43,647361.0,兆豐龍頭等權重
2026-01-06,00922,TWSE,27.08,26106571.0,國泰台灣領袖50
2026-01-06,00923,TWSE,27.23,6637650.0,群益台ESG低碳50
2026-01-06,00924,TWSE,29.19,4113707.0,復華S&P500成長
2026-01-06,00926,TWSE,23.32,1702949.0,凱基全球菁英55
2026-01-06,00927,TWSE,22.59,31637151.0,群益半導體收益
2026-01-06,00929,TWSE,18.26,41766000.0,復華台灣科技優息
2026-01-06,00930,TWSE,17.34,3373849.0,永豐ESG低碳高息
2026-01-06,00932,TWSE,14.2,1843121.0,兆豐永續高息等權
2026-01-06,00934,TWSE,21.04,6448479.0,中信成長高股息
2026-01-06,00935,TWSE,31.66,7227617.0,野村臺灣新科技50
2026-01-06,00936,TWSE,16.18,4886695.0,台新永續高息中小
2026-01-06,00938,TWSE,17.84,2805023.0,凱基優選30
2026-01-06,00939,TWSE,14.76,24290341.0,統一台灣高息動能
